Category,Dish,Instructions
Kids / Comfort Foods,Italian Ricotta Meatballs with Marinara Sauce & Penne Pasta,"Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 18–22 minutes until heated through and sauce is bubbling, stirring once halfway. If you prefer sauce on the side, warm it separately in a small saucepan over low heat for 5–6 minutes. Best within 4–5 days."
Kids / Comfort Foods,Shepherd's Pie with Ground Beef & Mixed Vegetables,"Preheat oven to 375°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 20–25 minutes until heated through and filling is bubbling. Uncover for the last 5 minutes to lightly brown the mashed potato top. Best within 4–5 days."
Kids / Comfort Foods,Chicken Schnitzel with Roasted Baby Potatoes,"Preheat oven to 400°F. Place schnitzel on a sheet tray uncovered and warm for 8–10 minutes, flipping once halfway, until hot and crispy — do not cover or the breading will soften. Transfer potatoes to a separate oven-safe dish, cover loosely with foil, and warm alongside for 10–12 minutes. Best within 3–4 days."
Lunch Bowls & Salads,"Detox Salad with Kale, Broccoli, Red Cabbage, Carrots, Cilantro, Slivered Almonds, Scallions, Avocado & Carrot Ginger Dressing",Serve cold — no heating needed. Add avocado just before serving if stored separately. Dress just before eating and toss gently to coat. Best within 3–4 days.
Lunch Bowls & Salads,"Mediterranean Orzo Salad with Red Onion, Olives, Marinated Artichoke Hearts, Cherry Tomatoes, Pepperoncini, Cucumber, Chickpeas, Feta, Basil & Red Wine Vinaigrette",Serve cold or at room temperature — no heating needed. Toss gently before serving as dressing may settle. Best within 4–5 days.
Lunch Bowls & Salads,"Balsamic Chicken & Farro Bowl with Mozzarella Pearls, Basil, Slow Roasted Cherry Tomatoes & Balsamic Glaze","Preheat oven to 325°F. Transfer chicken and farro to an oven-safe dish, cover tightly with foil, and warm for 15–18 minutes until heated through. Serve mozzarella pearls, fresh basil, and balsamic glaze cold on top just before eating. Best within 4–5 days."
Lunch Bowls & Salads,"Fiesta Salmon Rice Bowl with Corn & Black Bean Salsa, Cilantro Lime Rice & Avocado","Preheat oven to 300°F. Transfer salmon and rice to an oven-safe dish, cover tightly with foil, and warm for 10–12 minutes until just heated through — low and slow keeps the salmon moist. Serve corn & black bean salsa and avocado cold on the side. Best within 2–3 days."
Main Dishes,"Low Carb Chicken & Cabbage Stir Fry with Ground Chicken, Ginger, Garlic, Scallions, Chili, Shredded Cabbage & Herbs","Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 15–18 minutes until heated through, stirring once halfway. Best within 4–5 days."
Main Dishes,Garlic Butter Salmon with Spinach & Mushrooms over Polenta with Creamy Sauce & Grilled Asparagus,"Preheat oven to 300°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 12–15 minutes until just heated through — low and slow keeps the salmon moist. Best within 2–3 days."
Main Dishes,"Pork Vindaloo over Jasmine Rice with Garlic, Paprika, Coriander, Cardamom, Ginger & Roasted Broccoli","Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 20–25 minutes until heated through and sauce is bubbling, stirring once halfway. Best within 4–5 days."
Main Dishes,"Ginger Basil Beef & Zucchini over Rice with Shallots, Ginger, Garlic, Liquid Aminos, Fish Sauce, Rice Vinegar, Gochujang & Basil","Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 18–22 minutes until heated through, stirring once halfway. Best within 4–5 days."
Main Dishes,"Lemon Braised Chicken Thighs with Golden Potatoes, Rosemary, Oregano, Garlic, Lemon & Garlicky Green Beans","Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 20–25 minutes until heated through and braising liquid is bubbling. Best within 4–5 days."
Main Dishes,"Vegan Meatloaf with Lentils, Quinoa, Garlic, Thyme, Sage, Ground Flaxseed, Walnuts, Carrots, Onion, Celery, Liquid Aminos, Dijon, Balsamic Vinegar & Parsley over Grilled Zucchini & Yellow Squash","Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 20–25 minutes until heated through. Uncover for the last 5 minutes for a lightly set top. Place zucchini and squash in a separate oven-safe dish, cover loosely with foil, and warm alongside for the last 8–10 minutes. Best within 4–5 days."
Clean Eats — Proteins,Asian Turkey Burgers,"Preheat oven to 350°F. Place in an oven-safe dish, cover tightly with foil, and warm for 12–15 minutes until heated through. Serve any sauce cold on the side or spooned over just before eating. Best within 3–4 days."
Clean Eats — Proteins,Grilled Salmon,"Preheat oven to 300°F. Place in an oven-safe dish, cover tightly with foil, and warm for 10–12 minutes until just heated through — low and slow keeps the salmon moist. Best within 2–3 days."
Clean Eats — Proteins,Grilled Chicken Breast,"Preheat oven to 325°F. Place in an oven-safe dish, cover tightly with foil, and warm for 12–15 minutes until heated through. Best within 4–5 days."
Clean Eats — Proteins,Grass-Fed Ground Beef,"Preheat oven to 350°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 12–15 minutes until heated through, stirring once halfway. Best within 4–5 days."
Clean Eats — Starches,Jasmine Rice,"Preheat oven to 325°F. Transfer to an oven-safe dish, add a splash of water, cover tightly with foil, and warm for 10–12 minutes. Fluff with a fork before serving. Best within 4–5 days."
Clean Eats — Starches,Quinoa,"Preheat oven to 325°F. Transfer to an oven-safe dish, add a splash of water, cover tightly with foil, and warm for 10–12 minutes. Fluff with a fork before serving. Best within 4–5 days."
Clean Eats — Starches,Roasted Baby Potatoes,Preheat oven to 400°F. Spread on a sheet tray uncovered and warm for 8–10 minutes until hot and slightly crispy. Do not cover — keeping them uncovered brings the texture back. Best within 4–5 days.
Clean Eats — Starches,Roasted Sweet Potatoes,Preheat oven to 400°F. Spread on a sheet tray uncovered and warm for 8–10 minutes until hot and slightly caramelized. Do not cover. Best within 4–5 days.
Clean Eats — Veggies,Roasted Broccoli,Preheat oven to 400°F. Spread on a sheet tray uncovered and warm for 6–8 minutes until hot and slightly re-crisped. Do not cover or it will steam and lose the texture. Best within 3–4 days.
Clean Eats — Veggies,Steamed Green Beans,"Preheat oven to 375°F. Spread on a sheet tray, cover loosely with foil, and warm for 6–8 minutes until heated through. Best within 3–4 days."
Clean Eats — Veggies,Grilled Zucchini & Yellow Squash,"Preheat oven to 375°F. Place in an oven-safe dish, cover loosely with foil, and warm for 6–8 minutes until heated through. Best within 3–4 days."
Clean Eats — Veggies,Roasted Carrots,"Preheat oven to 375°F. Transfer to an oven-safe dish, cover tightly with foil, and warm for 10–12 minutes until heated through. Best within 4–5 days."
Simple Salads,"Simple Green Salad with Cherry Tomatoes, Cucumbers, Carrots, Pumpkin Seeds & Balsamic Vinaigrette",Serve cold — no heating needed. Dress just before eating and toss gently. Best within 3–4 days.
Simple Salads,"Detox Salad with Kale, Broccoli, Cabbage, Carrots & Carrot Ginger Dressing",Serve cold — no heating needed. Add avocado just before serving if stored separately. Dress just before eating and toss gently. Best within 3–4 days.
